Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Dark,Opto
1/8/2018,16:28:07,687,0,69,68,67,67,66,67,67,65,72,73,72,358,0,0
1/8/2018,16:28:07,890,1,69,68,67,67,66,67,67,65,72,73,72,300,0,0
1/8/2018,16:28:08,78,2,69,68,67,67,66,67,67,65,72,73,72,263,0,0
1/8/2018,16:28:08,281,3,69,68,67,67,66,67,67,65,72,73,72,261,0,0
1/8/2018,16:28:08,484,4,69,68,67,67,66,67,67,65,72,73,72,285,0,0
1/8/2018,16:28:08,687,5,69,68,67,67,66,67,67,65,72,73,72,320,0,0
1/8/2018,16:28:08,890,6,68,68,67,67,66,67,67,65,72,73,72,278,0,0
1/8/2018,16:28:09,78,7,69,68,67,67,65,67,67,65,72,73,72,356,0,0
1/8/2018,16:28:09,281,8,69,68,67,67,66,67,67,65,72,73,72,343,0,0
1/8/2018,16:28:09,484,9,69,67,67,67,66,67,67,65,72,73,72,348,0,0
1/8/2018,16:28:09,687,10,68,68,67,67,66,67,67,65,72,73,72,374,0,0
1/8/2018,16:28:09,890,11,69,68,67,67,66,67,67,65,72,73,72,341,0,0
1/8/2018,16:28:10,78,12,69,68,67,67,66,67,67,65,72,73,72,139,0,0
1/8/2018,16:28:10,280,13,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:10,483,14,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:10,686,15,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:10,889,16,68,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:11,77,17,68,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:11,280,18,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:11,483,19,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:11,686,20,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:11,890,21,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:12,77,22,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:12,280,23,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:12,483,24,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:12,687,25,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:12,890,26,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:13,77,27,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:13,280,28,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:13,483,29,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:13,687,30,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:13,890,31,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:14,77,32,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:14,280,33,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:14,484,34,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:14,687,35,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:14,890,36,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:15,77,37,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:15,281,38,69,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:15,484,39,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:15,687,40,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:15,890,41,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:16,78,42,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:16,281,43,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:16,484,44,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:16,687,45,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:16,890,46,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:17,78,47,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:17,281,48,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:17,484,49,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:17,687,50,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:17,890,51,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:18,78,52,69,68,67,68,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:18,281,53,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:18,484,54,69,67,67,67,66,67,67,65,72,73,72,72,0,0
